household_id,district,latitude,longitude,distribution_date,household_size,baseline_fuel_kg_person_week,distance_to_market_km,elevation_m,usage_month_1,usage_month_2,usage_month_3,usage_month_4,usage_month_5,usage_month_6,market_climb_index,dist_month,is_rainy_season,relative_remoteness,weekly_baseline_hh,avg_weekly_usage,pct_reduction,low_adoption
HH-02216,Musanze,-1.470711,29.595319,2023-11-04,4.0,8.2,6.6,2084,13.5,13.2,13.6,12.7,16.4,11.1,13.7544,11,1,0.015050056052757287,32.8,13.416666666666666,0.5909552845528455,0
HH-02583,Burera,-1.452974,29.765346,2024-01-21,5.0,12.4,7.9,2003,28.9,,34.9,29.8,33.3,26.7,15.823700000000002,1,0,0.07857835037479172,62.0,30.72,0.5045161290322581,0
HH-01663,Gakenke,-1.652503,29.764647,2024-03-30,7.0,9.5,8.4,1956,55.2,58.3,58.5,46.8,57.3,54.0,16.4304,3,1,0.02768547010446384,66.5,55.01666666666667,0.17268170426065155,1
HH-03028,Burera,-1.434321,29.739065,2023-04-18,5.0,9.6,3.2,1866,51.9,38.2,45.7,44.6,48.5,37.2,5.9712000000000005,4,1,0.050868631212187605,48.0,44.35,0.07604166666666663,1
HH-04344,Rulindo,-1.799681,29.958393,2024-02-10,5.0,10.9,0.7,1887,26.8,26.0,26.5,22.4,26.6,17.9,1.3209,2,0,0.06538501006487968,54.5,24.366666666666664,0.5529051987767585,0
HH-02681,Musanze,-1.540433,29.584909,2024-05-29,5.0,6.3,1.0,1773,12.9,17.0,12.3,13.2,12.9,13.1,1.773,5,1,0.07652550254361852,31.5,13.566666666666668,0.5693121693121692,0
HH-01766,Musanze,-1.503727,29.579738,2023-04-19,4.0,10.4,1.8,1685,19.5,21.1,15.3,17.8,20.1,18.6,3.0330000000000004,4,1,0.03981569599914919,41.6,18.733333333333334,0.5496794871794872,0
HH-01124,Rulindo,-1.763794,30.004087,2024-01-08,5.0,9.8,1.4,1793,24.0,21.4,19.9,27.3,24.5,17.9,2.5101999999999998,1,0,0.05284169980445334,49.0,22.5,0.5408163265306123,0
HH-04055,Rulindo,-1.781965,29.993126,2023-09-30,5.0,8.8,7.7,2192,40.1,41.9,43.6,40.1,34.8,38.1,16.878400000000003,9,1,0.05789795473205134,44.0,39.766666666666666,0.09621212121212123,1
HH-03762,Rulindo,-1.790846,30.050877,2024-02-19,2.0,9.6,4.3,1595,15.3,17.2,16.5,15.7,17.2,16.7,6.858499999999999,2,0,0.10682824034162962,19.2,16.433333333333334,0.14409722222222218,1
HH-01536,Nyabihu,-1.598141,29.497657,2024-01-26,6.0,12.0,10.8,2205,57.9,60.5,68.8,55.8,73.4,68.6,23.814000000000004,1,0,0.0929193358591859,72.0,64.16666666666667,0.10879629629629622,1
HH-02945,Rulindo,-1.708209,30.067153,2024-05-25,4.0,8.4,1.4,1682,14.1,13.5,15.2,14.5,17.1,16.3,2.3547999999999996,5,1,0.1100676036195643,33.6,15.116666666666667,0.5500992063492064,0
HH-02988,Burera,-1.433456,29.835506,2023-03-08,4.0,6.9,1.5,2053,28.3,21.7,26.4,25.6,24.7,24.7,3.0795,3,1,0.1472643228786506,27.6,25.233333333333334,0.08574879227053141,1
HH-04292,Nyabihu,-1.639748,29.512431,2023-05-07,3.0,12.8,3.6,2509,18.1,21.9,17.6,18.4,15.0,13.3,9.032399999999999,5,1,0.12823437564598328,38.400000000000006,17.383333333333333,0.5473090277777779,0
HH-04343,Rulindo,-1.738876,29.981064,2023-01-17,6.0,6.6,3.4,1837,21.8,20.4,20.6,15.5,,18.6,6.2458,1,0,0.02132813372413768,39.599999999999994,19.380000000000003,0.5106060606060605,0
HH-04425,Musanze,-1.5006784999999998,29.624293,2023-10-28,7.0,11.1,2.1,1704,55.5,62.1,65.8,61.1,74.5,82.0,3.5784000000000002,10,1,0.05610592533544625,77.7,66.83333333333333,0.13985413985413994,1
HH-07942,Burera,-1.453522,29.705235,2023-06-03,8.0,9.7,4.4,1745,62.0,68.0,61.4,,83.9,68.9,7.678000000000001,6,0,0.023286879405072288,77.6,68.84,0.11288659793814422,1
HH-04998,Musanze,-1.45133,29.614929,2023-01-27,5.0,6.1,3.9,1800,32.1,24.9,26.5,25.1,26.5,30.3,7.02,1,0,0.03539798207321661,30.5,27.566666666666666,0.09617486338797815,1
HH-02749,Rulindo,-1.77222,29.982423,2023-09-16,5.0,10.4,3.8,1817,22.5,22.3,23.2,26.5,20.0,28.2,6.904599999999999,9,1,0.04391931197072951,52.0,23.78333333333333,0.5426282051282052,0
HH-02303,Burera,-1.409374,29.715698,2024-06-23,4.0,,2.5,1945,25.9,24.7,25.2,25.3,24.7,28.5,4.8625,6,0,0.039294538853566936,,25.71666666666667,,0
